Iterations,J_t
10,0.6268325229602738
20,0.08203424064872024
30,0.07641233453933773
40,0.07891447002172111
50,0.08172705184348183
60,0.08017386426621143
70,0.07141599764190225
80,0.06204820400330152
90,0.05695363277467639
100,0.05490102220963187
110,0.05417744430615479
120,0.05389519874326415
130,0.05373886094630193
140,0.053616082613836324
150,0.05350103735489454
160,0.05338810155572748
170,0.053278112055685785
180,0.05317357646825316
190,0.05307686294903472
200,0.052989584276666744
210,0.05291249840837909
220,0.052845624335628685
230,0.05278843041347291
240,0.05274002726836666
250,0.05269933495641464
260,0.05266521342282876
270,0.05263655535825353
280,0.052612345561125755
290,0.05259169308138422
300,0.05257384292296616
310,0.05255817362250326
320,0.05254418605442443
330,0.05253148764737496
340,0.05251977503987322
350,0.052508817180179385
360,0.05249844004831916
370,0.05248851356165448
380,0.052478940802818376
390,0.052469649447041675
400,0.05246058512610436
410,0.052451706411431355
420,0.05244298109816763
430,0.05243438350171625
440,0.05242589252158596
450,0.05241749027383684
460,0.05240916113682626
470,0.0524008910924093
480,0.052392667275325946
490,0.05238447766746701
500,0.05237631089188674
510,0.05236815607485922
520,0.052360002753980076
530,0.05235184081720249
540,0.05234366046250822
550,0.05233545217123708
560,0.05232720669037093
570,0.052318915020614025
580,0.052310568408160764
590,0.052302158338754484
600,0.052293676533127935
610,0.052285114943249576
620,0.05227646574903267
630,0.05226772135532376
640,0.052258874389100866
650,0.05224991769688796
660,0.05224084434244559
670,0.05223164760483
680,0.05222232097693276
690,0.05221285816462229
700,0.05220325308660753
710,0.052193499875141026
720,0.05218359287766569
730,0.05217352665949945
740,0.05216329600763428
750,0.05215289593571179
760,0.052142321690218436
770,0.052131568757926905
780,0.05212063287459344
790,0.05210951003490185
800,0.05209819650363026
810,0.052086688827999036
820,0.05207498385114254
830,0.052063078726632926
840,0.052050970933967475
850,0.05203865829491761
860,0.05202613899062273
870,0.052013411579297814
880,0.052000475014410096
890,0.05198732866316608
900,0.0519739723251383
910,0.051960406250846664
920,0.051946631160098726
930,0.051932648259882044
940,0.05191845926158944
950,0.05190406639735206
960,0.05188947243524488
970,0.05187468069312433
980,0.05185969505085481
990,0.05184451996067732
1000,0.05182916045547644
1010,0.05181362215470473
1020,0.05179791126773174
1030,0.051782034594394344
1040,0.05176599952254058
1050,0.05174981402237726
1060,0.0517334866374531
1070,0.05171702647213593
1080,0.05170044317547273
1090,0.05168374692135442
1100,0.05166694838494576
1110,0.05165005871538092
1120,0.051633089504768526
1130,0.05161605275359617
1140,0.05159896083267137
1150,0.05158182644178357
1160,0.05156466256532029
1170,0.05154748242511687
1180,0.05153029943086449
1190,0.051513127128442714
1200,0.05149597914658134
1210,0.05147886914228926
1220,0.05146181074551463
1230,0.05144481750352292
1240,0.051427902825491076
1250,0.051411079927823795
1260,0.05139436178069328
1270,0.05137776105629548
1280,0.051361290079295456
1290,0.051344960779908536
1300,0.0513287846500299
1310,0.05131277270278399
1320,0.05129693543581876
1330,0.051281282798618114
1340,0.051265824164050115
1350,0.05125056830431144
1360,0.051235523371368295
1370,0.051220696881935215
1380,0.051206095706975485
1390,0.051191726065649895
1400,0.0511775935235897
1410,0.051163702995319915
